Attacker,Defender,AttackType,TotalAttacks,Hits,Misses,Dodges,Criticals,HitRate,DodgeRate,CritRate,TotalDamage,AvgDmgPerAttack,AvgDmgPerHit,TotalKills,BattlesSampled
Fighter,Skeleton Archer,Regular,14,11,0,2,1,0.857,0.143,0.071,255,18.21,21.25,5,3
Fighter,Skeleton Archer,Counterattack,15,10,3,1,1,0.733,0.067,0.067,101,6.73,9.18,2,3
Fighter,Sorcerer,Regular,16,14,0,1,1,0.938,0.062,0.062,242,15.12,16.13,4,5
Fighter,Sorcerer,Counterattack,2,2,0,0,0,1.000,0.000,0.000,6,3.00,3.00,0,1
Fighter,Spearman,Regular,64,51,0,4,9,0.938,0.062,0.141,438,6.84,7.30,7,6
Fighter,Spearman,Counterattack,53,30,13,4,6,0.679,0.075,0.113,47,0.89,1.31,0,6
Fighter,Swordsman,Regular,67,49,0,7,11,0.896,0.104,0.164,808,12.06,13.47,9,20
Fighter,Swordsman,Counterattack,23,13,4,2,4,0.739,0.087,0.174,32,1.39,1.88,0,8
Fighter,Warlock,Regular,14,14,0,0,0,1.000,0.000,0.000,196,14.00,14.00,1,6
Fighter,Warlock,Counterattack,10,7,0,0,3,1.000,0.000,0.300,36,3.60,3.60,0,2
Fighter,Warrior,Regular,49,40,0,1,8,0.980,0.020,0.163,446,9.10,9.29,7,14
Fighter,Warrior,Counterattack,30,15,7,2,6,0.700,0.067,0.200,30,1.00,1.43,0,6
Fighter,Wizard,Regular,43,39,0,3,1,0.930,0.070,0.023,649,15.09,16.23,4,13
Fighter,Wizard,Counterattack,14,9,1,3,1,0.714,0.214,0.071,38,2.71,3.80,2,2
Goblin Raider,Archer,Regular,42,29,0,6,7,0.857,0.143,0.167,750,17.86,20.83,10,13
Goblin Raider,Archer,Counterattack,11,7,3,1,0,0.636,0.091,0.000,46,4.18,6.57,0,5
Goblin Raider,Assassin,Regular,8,7,0,0,1,1.000,0.000,0.125,161,20.12,20.12,1,6
Goblin Raider,Assassin,Counterattack,1,0,0,0,1,1.000,0.000,1.000,12,12.00,12.00,0,1
Goblin Raider,Battle Mage,Regular,2,0,0,0,2,1.000,0.000,1.000,48,24.00,24.00,0,1
Goblin Raider,Battle Mage,Counterattack,2,1,1,0,0,0.500,0.000,0.000,1,0.50,1.00,0,1
Goblin Raider,Cleric,Regular,16,10,0,4,2,0.750,0.250,0.125,204,12.75,17.00,4,2
Goblin Raider,Cleric,Counterattack,15,10,4,0,1,0.733,0.000,0.067,36,2.40,3.27,2,3
Goblin Raider,Crossbowman,Regular,15,9,0,2,4,0.867,0.133,0.267,234,15.60,18.00,0,5
Goblin Raider,Crossbowman,Counterattack,11,7,2,1,1,0.727,0.091,0.091,26,2.36,3.25,0,4
Goblin Raider,Fighter,Regular,13,9,0,0,4,1.000,0.000,0.308,133,10.23,10.23,1,6
Goblin Raider,Fighter,Counterattack,3,2,1,0,0,0.667,0.000,0.000,2,0.67,1.00,0,3
Goblin Raider,Knight,Regular,95,75,0,4,16,0.958,0.042,0.168,448,4.72,4.92,7,14
Goblin Raider,Knight,Counterattack,18,10,4,1,3,0.722,0.056,0.167,13,0.72,1.00,0,8
Goblin Raider,Mage,Regular,21,17,0,1,3,0.952,0.048,0.143,314,14.95,15.70,4,3
Goblin Raider,Mage,Counterattack,14,5,6,0,3,0.571,0.000,0.214,30,2.14,3.75,2,2
Goblin Raider,Marksman,Regular,20,16,0,3,1,0.850,0.150,0.050,344,17.20,20.24,6,5
Goblin Raider,Marksman,Counterattack,11,8,2,1,0,0.727,0.091,0.000,61,5.55,7.62,0,4
Goblin Raider,Ogre,Regular,21,16,0,1,4,0.952,0.048,0.190,96,4.57,4.80,1,2
Goblin Raider,Ogre,Counterattack,18,12,4,0,2,0.778,0.000,0.111,14,0.78,1.00,0,2
Goblin Raider,Orc Warrior,Regular,9,6,0,1,2,0.889,0.111,0.222,68,7.56,8.50,0,2
Goblin Raider,Orc Warrior,Counterattack,9,5,4,0,0,0.556,0.000,0.000,5,0.56,1.00,0,2
Goblin Raider,Paladin,Regular,63,38,0,10,15,0.841,0.159,0.238,434,6.89,8.19,6,11
Goblin Raider,Paladin,Counterattack,28,19,4,0,5,0.857,0.000,0.179,25,0.89,1.04,0,9
Goblin Raider,Priest,Regular,14,10,0,1,3,0.929,0.071,0.214,271,19.36,20.85,4,2
Goblin Raider,Priest,Counterattack,8,6,0,2,0,0.750,0.250,0.000,34,4.25,5.67,0,2
Goblin Raider,Ranger,Regular,15,11,0,1,3,0.933,0.067,0.200,244,16.27,17.43,2,2
Goblin Raider,Ranger,Counterattack,15,8,4,1,2,0.667,0.067,0.133,42,2.80,4.20,0,2
Goblin Raider,Rogue,Regular,2,2,0,0,0,1.000,0.000,0.000,34,17.00,17.00,0,2
Goblin Raider,Rogue,Counterattack,2,2,0,0,0,1.000,0.000,0.000,10,5.00,5.00,0,2
Goblin Raider,Scout,Regular,18,14,0,2,2,0.889,0.111,0.111,312,17.33,19.50,4,2
Goblin Raider,Scout,Counterattack,12,6,3,3,0,0.500,0.250,0.000,38,3.17,6.33,0,2
Goblin Raider,Skeleton Archer,Regular,14,12,0,1,1,0.929,0.071,0.071,291,20.79,22.38,4,4
Goblin Raider,Skeleton Archer,Counterattack,14,10,2,2,0,0.714,0.143,0.000,97,6.93,9.70,2,3
Goblin Raider,Sorcerer,Regular,18,8,0,1,9,0.944,0.056,0.500,396,22.00,23.29,7,5
Goblin Raider,Sorcerer,Counterattack,15,6,4,0,5,0.733,0.000,0.333,82,5.47,7.45,0,5
Goblin Raider,Spearman,Regular,1,1,0,0,0,1.000,0.000,0.000,12,12.00,12.00,0,1
Goblin Raider,Spearman,Counterattack,1,0,0,1,0,0.000,1.000,0.000,0,0.00,0.00,0,1
Goblin Raider,Swordsman,Regular,37,26,0,3,8,0.919,0.081,0.216,518,14.00,15.24,10,9
Goblin Raider,Swordsman,Counterattack,4,4,0,0,0,1.000,0.000,0.000,6,1.50,1.50,0,4
Goblin Raider,Warlock,Regular,20,16,0,1,3,0.950,0.050,0.150,330,16.50,17.37,2,4
Goblin Raider,Warlock,Counterattack,20,12,6,0,2,0.700,0.000,0.100,59,2.95,4.21,0,4
Goblin Raider,Warrior,Regular,9,6,0,2,1,0.778,0.222,0.111,81,9.00,11.57,0,2
Goblin Raider,Warrior,Counterattack,6,4,2,0,0,0.667,0.000,0.000,4,0.67,1.00,0,2
Goblin Raider,Wizard,Regular,42,31,0,3,8,0.929,0.071,0.190,756,18.00,19.38,13,11
Goblin Raider,Wizard,Counterattack,18,9,4,2,3,0.667,0.111,0.167,72,4.00,6.00,0,7
Knight,Archer,Regular,41,34,0,3,4,0.927,0.073,0.098,709,17.29,18.66,6,21
Knight,Archer,Counterattack,25,20,4,0,1,0.840,0.000,0.040,119,4.76,5.67,0,9
Knight,Assassin,Regular,26,21,0,4,1,0.846,0.154,0.038,395,15.19,17.95,1,10
Knight,Assassin,Counterattack,23,11,4,6,2,0.565,0.261,0.087,83,3.61,6.38,1,7
Knight,Battle Mage,Regular,30,26,0,3,1,0.900,0.100,0.033,341,11.37,12.63,9,2
Knight,Battle Mage,Counterattack,27,20,4,2,1,0.778,0.074,0.037,32,1.19,1.52,0,2
Knight,Cleric,Regular,17,13,0,2,2,0.882,0.118,0.118,229,13.47,15.27,4,3
Knight,Cleric,Counterattack,16,11,3,0,2,0.812,0.000,0.125,37,2.31,2.85,0,2
Knight,Crossbowman,Regular,45,34,0,4,7,0.911,0.089,0.156,579,12.87,14.12,11,12
Knight,Crossbowman,Counterattack,51,28,12,8,3,0.608,0.157,0.059,54,1.06,1.74,0,12
Knight,Fighter,Regular,94,77,0,6,11,0.936,0.064,0.117,601,6.39,6.83,11,15
Knight,Fighter,Counterattack,102,61,25,12,4,0.637,0.118,0.039,66,0.65,1.02,0,20
Knight,Goblin Raider,Regular,32,24,0,4,4,0.875,0.125,0.125,533,16.66,19.04,11,9
Knight,Goblin Raider,Counterattack,48,30,5,8,5,0.729,0.167,0.104,217,4.52,6.20,1,12
Knight,Knight,Regular,83,71,0,7,5,0.916,0.084,0.060,256,3.08,3.37,1,21
Knight,Knight,Counterattack,61,46,5,5,5,0.836,0.082,0.082,51,0.84,1.00,0,10
Knight,Mage,Regular,34,28,0,2,4,0.941,0.059,0.118,452,13.29,14.12,9,8
Knight,Mage,Counterattack,27,22,2,1,2,0.889,0.037,0.074,45,1.67,1.88,0,6
Knight,Marksman,Regular,30,19,0,7,4,0.767,0.233,0.133,469,15.63,20.39,11,12
Knight,Marksman,Counterattack,27,17,4,2,4,0.778,0.074,0.148,161,5.96,7.67,0,10
Knight,Ogre,Regular,27,23,0,0,4,1.000,0.000,0.148,92,3.41,3.41,1,2
Knight,Ogre,Counterattack,31,25,1,3,2,0.871,0.097,0.065,27,0.87,1.00,3,3
Knight,Orc Warrior,Regular,56,45,0,6,5,0.893,0.107,0.089,257,4.59,5.14,5,3
Knight,Orc Warrior,Counterattack,56,35,13,4,4,0.696,0.071,0.071,39,0.70,1.00,1,2
Knight,Paladin,Regular,117,99,0,3,15,0.974,0.026,0.128,593,5.07,5.20,6,22
Knight,Paladin,Counterattack,115,78,18,9,10,0.765,0.078,0.087,88,0.77,1.00,1,22
Knight,Priest,Regular,22,19,0,2,1,0.909,0.091,0.045,353,16.05,17.65,9,6
Knight,Priest,Counterattack,34,23,7,1,3,0.765,0.029,0.088,148,4.35,5.69,0,8
Knight,Ranger,Regular,27,20,0,4,3,0.852,0.148,0.111,352,13.04,15.30,9,6
Knight,Ranger,Counterattack,21,15,3,0,3,0.857,0.000,0.143,54,2.57,3.00,0,2
Knight,Rogue,Regular,27,17,0,6,4,0.778,0.222,0.148,369,13.67,17.57,9,7
Knight,Rogue,Counterattack,28,14,6,6,2,0.571,0.214,0.071,70,2.50,4.38,0,6
Knight,Scout,Regular,26,18,0,5,3,0.808,0.192,0.115,393,15.12,18.71,7,5
Knight,Scout,Counterattack,20,11,4,4,1,0.600,0.200,0.050,64,3.20,5.33,0,4
Knight,Skeleton Archer,Regular,22,18,0,3,1,0.864,0.136,0.045,399,18.14,21.00,11,9
Knight,Skeleton Archer,Counterattack,21,16,2,1,2,0.857,0.048,0.095,165,7.86,9.17,3,5
Knight,Sorcerer,Regular,24,20,0,2,2,0.917,0.083,0.083,374,15.58,17.00,4,9
Knight,Sorcerer,Counterattack,15,9,2,2,2,0.733,0.133,0.133,57,3.80,5.18,1,3
Knight,Spearman,Regular,38,25,0,4,9,0.895,0.105,0.237,407,10.71,11.97,10,4
Knight,Spearman,Counterattack,53,34,10,6,3,0.698,0.113,0.057,43,0.81,1.16,1,10
Knight,Swordsman,Regular,52,39,0,5,8,0.904,0.096,0.154,633,12.17,13.47,10,23
Knight,Swordsman,Counterattack,34,19,9,4,2,0.618,0.118,0.059,27,0.79,1.29,1,12
Knight,Warlock,Regular,23,17,0,3,3,0.870,0.130,0.130,322,14.00,16.10,4,6
Knight,Warlock,Counterattack,17,12,2,0,3,0.882,0.000,0.176,57,3.35,3.80,0,4
Knight,Warrior,Regular,58,44,0,5,9,0.914,0.086,0.155,513,8.84,9.68,6,16
Knight,Warrior,Counterattack,48,28,9,7,4,0.667,0.146,0.083,32,0.67,1.00,0,13
Knight,Wizard,Regular,28,25,0,1,2,0.964,0.036,0.071,443,15.82,16.41,6,6
Knight,Wizard,Counterattack,16,10,4,0,2,0.750,0.000,0.125,56,3.50,4.67,1,4
Mage,Archer,Regular,10,7,0,2,1,0.800,0.200,0.100,291,29.10,36.38,4,7
Mage,Archer,Counterattack,7,5,1,1,0,0.714,0.143,0.000,70,10.00,14.00,0,4
Mage,Assassin,Regular,7,3,0,2,2,0.714,0.286,0.286,208,29.71,41.60,3,4
Mage,Assassin,Counterattack,4,3,1,0,0,0.750,0.000,0.000,42,10.50,14.00,0,3
Mage,Battle Mage,Regular,6,6,0,0,0,1.000,0.000,0.000,174,29.00,29.00,3,2
Mage,Battle Mage,Counterattack,3,3,0,0,0,1.000,0.000,0.000,27,9.00,9.00,0,1
Mage,Cleric,Regular,4,3,0,0,1,1.000,0.000,0.250,131,32.75,32.75,2,2
Mage,Cleric,Counterattack,1,1,0,0,0,1.000,0.000,0.000,8,8.00,8.00,0,1
Mage,Crossbowman,Regular,6,4,0,1,1,0.833,0.167,0.167,189,31.50,37.80,3,2
Mage,Crossbowman,Counterattack,4,2,1,0,1,0.750,0.000,0.250,52,13.00,17.33,0,2
Mage,Fighter,Regular,21,17,0,2,2,0.905,0.095,0.095,684,32.57,36.00,8,12
Mage,Fighter,Counterattack,7,4,2,0,1,0.714,0.000,0.143,80,11.43,16.00,1,5
Mage,Goblin Raider,Regular,5,5,0,0,0,1.000,0.000,0.000,170,34.00,34.00,5,3
Mage,Goblin Raider,Counterattack,4,3,0,1,0,0.750,0.250,0.000,42,10.50,14.00,0,2
Mage,Knight,Regular,30,28,0,2,0,0.933,0.067,0.000,952,31.73,34.00,12,17
Mage,Knight,Counterattack,13,7,3,2,1,0.615,0.154,0.077,122,9.38,15.25,3,10
Mage,Mage,Regular,2,2,0,0,0,1.000,0.000,0.000,56,28.00,28.00,0,2
Mage,Marksman,Regular,6,4,0,2,0,0.667,0.333,0.000,136,22.67,34.00,4,2
Mage,Marksman,Counterattack,6,4,2,0,0,0.667,0.000,0.000,56,9.33,14.00,0,2
Mage,Ogre,Regular,7,6,0,0,1,1.000,0.000,0.143,257,36.71,36.71,4,3
Mage,Ogre,Counterattack,7,3,2,1,1,0.571,0.143,0.143,66,9.43,16.50,0,3
Mage,Orc Warrior,Regular,7,6,0,0,1,1.000,0.000,0.143,257,36.71,36.71,5,3
Mage,Orc Warrior,Counterattack,6,3,2,0,1,0.667,0.000,0.167,66,11.00,16.50,0,2
Mage,Paladin,Regular,21,18,0,0,3,1.000,0.000,0.143,687,32.71,32.71,10,10
Mage,Paladin,Counterattack,14,10,1,1,2,0.857,0.071,0.143,140,10.00,11.67,2,7
Mage,Priest,Regular,3,2,0,1,0,0.667,0.333,0.000,58,19.33,29.00,2,2
Mage,Priest,Counterattack,3,3,0,0,0,1.000,0.000,0.000,27,9.00,9.00,0,2
Mage,Ranger,Regular,3,1,0,1,1,0.667,0.333,0.333,79,26.33,39.50,1,1
Mage,Ranger,Counterattack,3,3,0,0,0,1.000,0.000,0.000,36,12.00,12.00,0,1
Mage,Rogue,Regular,3,3,0,0,0,1.000,0.000,0.000,102,34.00,34.00,0,1
Mage,Rogue,Counterattack,3,1,0,1,1,0.667,0.333,0.333,38,12.67,19.00,0,1
Mage,Scout,Regular,7,3,0,1,3,0.857,0.143,0.429,261,37.29,43.50,6,3
Mage,Scout,Counterattack,6,4,1,1,0,0.667,0.167,0.000,56,9.33,14.00,0,2
Mage,Skeleton Archer,Regular,6,5,0,0,1,1.000,0.000,0.167,199,33.17,33.17,1,2
Mage,Sorcerer,Regular,5,4,0,0,1,1.000,0.000,0.200,154,30.80,30.80,2,2
Mage,Sorcerer,Counterattack,5,4,0,0,1,1.000,0.000,0.200,45,9.00,9.00,0,2
Mage,Spearman,Regular,6,6,0,0,0,1.000,0.000,0.000,204,34.00,34.00,0,2
Mage,Swordsman,Regular,12,8,0,3,1,0.750,0.250,0.083,325,27.08,36.11,3,8
Mage,Swordsman,Counterattack,5,3,2,0,0,0.600,0.000,0.000,42,8.40,14.00,1,4
Mage,Warlock,Regular,6,6,0,0,0,1.000,0.000,0.000,168,28.00,28.00,6,2
Mage,Warlock,Counterattack,6,5,1,0,0,0.833,0.000,0.000,40,6.67,8.00,0,2
Mage,Warrior,Regular,12,10,0,2,0,0.833,0.167,0.000,340,28.33,34.00,6,8
Mage,Warrior,Counterattack,7,4,1,2,0,0.571,0.286,0.000,56,8.00,14.00,0,3
Mage,Wizard,Regular,4,4,0,0,0,1.000,0.000,0.000,108,27.00,27.00,0,2
Mage,Wizard,Counterattack,2,2,0,0,0,1.000,0.000,0.000,14,7.00,7.00,1,1
Marksman,Archer,Regular,24,19,0,1,4,0.958,0.042,0.167,494,20.58,21.48,8,6
Marksman,Archer,Counterattack,8,5,1,1,1,0.750,0.125,0.125,44,5.50,7.33,1,3
Marksman,Assassin,Regular,4,3,0,1,0,0.750,0.250,0.000,57,14.25,19.00,0,2
Marksman,Battle Mage,Regular,2,2,0,0,0,1.000,0.000,0.000,32,16.00,16.00,1,2
Marksman,Battle Mage,Counterattack,1,1,0,0,0,1.000,0.000,0.000,3,3.00,3.00,0,1
Marksman,Cleric,Regular,17,10,0,2,5,0.882,0.118,0.294,243,14.29,16.20,5,4
Marksman,Cleric,Counterattack,13,8,1,1,3,0.846,0.077,0.231,42,3.23,3.82,1,2
Marksman,Crossbowman,Regular,15,10,0,1,4,0.933,0.067,0.267,254,16.93,18.14,4,2
Marksman,Crossbowman,Counterattack,9,6,3,0,0,0.667,0.000,0.000,14,1.56,2.33,0,2
Marksman,Fighter,Regular,9,6,0,1,2,0.889,0.111,0.222,72,8.00,9.00,0,5
Marksman,Goblin Raider,Regular,20,13,0,3,4,0.850,0.150,0.200,331,16.55,19.47,8,10
Marksman,Goblin Raider,Counterattack,17,11,1,3,2,0.765,0.176,0.118,83,4.88,6.38,0,7
Marksman,Knight,Regular,36,24,0,5,7,0.861,0.139,0.194,169,4.69,5.45,2,15
Marksman,Knight,Counterattack,20,12,4,1,3,0.750,0.050,0.150,15,0.75,1.00,0,9
Marksman,Mage,Regular,17,9,0,2,6,0.882,0.118,0.353,277,16.29,18.47,2,3
Marksman,Mage,Counterattack,12,3,2,2,5,0.667,0.167,0.417,40,3.33,5.00,4,2
Marksman,Ogre,Regular,13,5,0,1,7,0.923,0.077,0.538,121,9.31,10.08,0,3
Marksman,Ogre,Counterattack,6,4,1,0,1,0.833,0.000,0.167,5,0.83,1.00,0,2
Marksman,Orc Warrior,Regular,12,7,0,1,4,0.917,0.083,0.333,39,3.25,3.55,0,2
Marksman,Orc Warrior,Counterattack,6,3,1,1,1,0.667,0.167,0.167,4,0.67,1.00,0,2
Marksman,Paladin,Regular,24,19,0,0,5,1.000,0.000,0.208,171,7.12,7.12,4,11
Marksman,Paladin,Counterattack,15,12,1,1,1,0.867,0.067,0.067,13,0.87,1.00,1,8
Marksman,Priest,Regular,13,9,0,1,3,0.923,0.077,0.231,185,14.23,15.42,4,2
Marksman,Priest,Counterattack,14,7,5,0,2,0.643,0.000,0.143,47,3.36,5.22,2,2
Marksman,Ranger,Regular,18,9,0,4,5,0.778,0.222,0.278,258,14.33,18.43,8,3
Marksman,Ranger,Counterattack,12,7,2,2,1,0.667,0.167,0.083,28,2.33,3.50,0,4
Marksman,Rogue,Regular,3,1,0,2,0,0.333,0.667,0.000,19,6.33,19.00,0,1
Marksman,Rogue,Counterattack,2,1,1,0,0,0.500,0.000,0.000,4,2.00,4.00,0,2
Marksman,Scout,Regular,15,8,0,3,4,0.800,0.200,0.267,256,17.07,21.33,5,3
Marksman,Scout,Counterattack,11,5,2,1,3,0.727,0.091,0.273,62,5.64,7.75,1,2
Marksman,Skeleton Archer,Regular,9,6,0,1,2,0.889,0.111,0.222,204,22.67,25.50,4,3
Marksman,Skeleton Archer,Counterattack,8,6,2,0,0,0.750,0.000,0.000,56,7.00,9.33,2,2
Marksman,Sorcerer,Regular,19,11,0,1,7,0.947,0.053,0.368,406,21.37,22.56,9,4
Marksman,Sorcerer,Counterattack,16,10,5,1,0,0.625,0.062,0.000,48,3.00,4.80,0,4
Marksman,Spearman,Regular,9,9,0,0,0,1.000,0.000,0.000,89,9.89,9.89,1,8
Marksman,Spearman,Counterattack,5,2,2,0,1,0.600,0.000,0.200,4,0.80,1.33,0,4
Marksman,Swordsman,Regular,11,5,0,1,5,0.909,0.091,0.455,189,17.18,18.90,1,8
Marksman,Swordsman,Counterattack,2,1,0,1,0,0.500,0.500,0.000,1,0.50,1.00,0,2
Marksman,Warlock,Regular,16,13,0,0,3,1.000,0.000,0.188,300,18.75,18.75,8,4
Marksman,Warlock,Counterattack,12,6,1,1,4,0.833,0.083,0.333,60,5.00,6.00,0,4
Marksman,Warrior,Regular,15,10,0,1,4,0.933,0.067,0.267,180,12.00,12.86,0,7
Marksman,Warrior,Counterattack,9,6,2,0,1,0.778,0.000,0.111,7,0.78,1.00,0,3
Marksman,Wizard,Regular,18,13,0,1,4,0.944,0.056,0.222,353,19.61,20.76,9,6
Marksman,Wizard,Counterattack,13,7,2,1,3,0.769,0.077,0.231,70,5.38,7.00,0,4
Ogre,Archer,Regular,5,3,0,2,0,0.600,0.400,0.000,64,12.80,21.33,1,2
Ogre,Archer,Counterattack,4,3,1,0,0,0.750,0.000,0.000,22,5.50,7.33,0,2
Ogre,Assassin,Regular,12,10,0,0,2,1.000,0.000,0.167,283,23.58,23.58,5,4
Ogre,Assassin,Counterattack,10,5,4,0,1,0.600,0.000,0.100,52,5.20,8.67,1,4
Ogre,Battle Mage,Regular,16,14,0,1,1,0.938,0.062,0.062,256,16.00,17.07,6,2
Ogre,Battle Mage,Counterattack,14,11,0,2,1,0.857,0.143,0.071,34,2.43,2.83,0,2
Ogre,Crossbowman,Regular,5,4,0,0,1,1.000,0.000,0.200,91,18.20,18.20,1,2
Ogre,Crossbowman,Counterattack,4,2,1,0,1,0.750,0.000,0.250,13,3.25,4.33,0,2
Ogre,Fighter,Regular,13,9,0,2,2,0.846,0.154,0.154,122,9.38,11.09,1,3
Ogre,Fighter,Counterattack,12,8,1,2,1,0.750,0.167,0.083,9,0.75,1.00,0,2
Ogre,Goblin Raider,Regular,10,8,0,1,1,0.900,0.100,0.100,207,20.70,23.00,3,2
Ogre,Goblin Raider,Counterattack,10,6,3,1,0,0.600,0.100,0.000,45,4.50,7.50,2,2
Ogre,Knight,Regular,11,11,0,0,0,1.000,0.000,0.000,64,5.82,5.82,0,3
Ogre,Knight,Counterattack,8,4,2,2,0,0.500,0.250,0.000,4,0.50,1.00,0,2
Ogre,Mage,Regular,4,4,0,0,0,1.000,0.000,0.000,70,17.50,17.50,1,4
Ogre,Marksman,Regular,2,2,0,0,0,1.000,0.000,0.000,45,22.50,22.50,0,2
Ogre,Marksman,Counterattack,3,3,0,0,0,1.000,0.000,0.000,25,8.33,8.33,0,3
Ogre,Orc Warrior,Regular,13,12,0,1,0,0.923,0.077,0.000,104,8.00,8.67,1,2
Ogre,Orc Warrior,Counterattack,11,7,2,0,2,0.818,0.000,0.182,15,1.36,1.67,1,2
Ogre,Paladin,Regular,21,18,0,3,0,0.857,0.143,0.000,153,7.29,8.50,3,3
Ogre,Paladin,Counterattack,19,15,2,2,0,0.789,0.105,0.000,15,0.79,1.00,0,2
Ogre,Ranger,Regular,5,5,0,0,0,1.000,0.000,0.000,93,18.60,18.60,1,4
Ogre,Ranger,Counterattack,2,2,0,0,0,1.000,0.000,0.000,8,4.00,4.00,0,2
Ogre,Rogue,Regular,9,7,0,2,0,0.778,0.222,0.000,139,15.44,19.86,3,3
Ogre,Rogue,Counterattack,8,6,1,1,0,0.750,0.125,0.000,36,4.50,6.00,0,3
Ogre,Scout,Regular,11,10,0,1,0,0.909,0.091,0.000,210,19.09,21.00,4,2
Ogre,Scout,Counterattack,12,8,2,1,1,0.750,0.083,0.083,69,5.75,7.67,2,2
Ogre,Skeleton Archer,Regular,6,6,0,0,0,1.000,0.000,0.000,149,24.83,24.83,2,4
Ogre,Skeleton Archer,Counterattack,3,2,0,1,0,0.667,0.333,0.000,22,7.33,11.00,0,1
Ogre,Sorcerer,Regular,1,0,0,0,1,1.000,0.000,1.000,32,32.00,32.00,0,1
Ogre,Spearman,Regular,11,9,0,0,2,1.000,0.000,0.182,167,15.18,15.18,2,2
Ogre,Spearman,Counterattack,9,5,1,0,3,0.889,0.000,0.333,20,2.22,2.50,1,2
Ogre,Swordsman,Regular,12,10,0,2,0,0.833,0.167,0.000,152,12.67,15.20,2,2
Ogre,Swordsman,Counterattack,11,6,4,1,0,0.545,0.091,0.000,14,1.27,2.33,0,2
Ogre,Warlock,Regular,2,2,0,0,0,1.000,0.000,0.000,38,19.00,19.00,0,2
Ogre,Warrior,Regular,5,5,0,0,0,1.000,0.000,0.000,54,10.80,10.80,0,2
Ogre,Warrior,Counterattack,4,1,2,1,0,0.250,0.250,0.000,1,0.25,1.00,0,2
Ogre,Wizard,Regular,2,2,0,0,0,1.000,0.000,0.000,40,20.00,20.00,0,2
Orc Warrior,Archer,Regular,19,13,0,2,4,0.895,0.105,0.211,325,17.11,19.12,2,3
Orc Warrior,Archer,Counterattack,15,10,2,2,1,0.733,0.133,0.067,64,4.27,5.82,0,2
Orc Warrior,Assassin,Regular,18,14,0,2,2,0.889,0.111,0.111,286,15.89,17.88,3,2
Orc Warrior,Assassin,Counterattack,12,5,2,4,1,0.500,0.333,0.083,39,3.25,6.50,1,2
Orc Warrior,Battle Mage,Regular,24,18,0,2,4,0.917,0.083,0.167,297,12.38,13.50,3,2
Orc Warrior,Battle Mage,Counterattack,18,11,3,3,1,0.667,0.167,0.056,21,1.17,1.75,3,2
Orc Warrior,Cleric,Regular,21,17,0,4,0,0.810,0.190,0.000,220,10.48,12.94,5,2
Orc Warrior,Cleric,Counterattack,18,8,4,2,4,0.667,0.111,0.222,44,2.44,3.67,0,2
Orc Warrior,Crossbowman,Regular,27,20,0,4,3,0.852,0.148,0.111,296,10.96,12.87,4,2
Orc Warrior,Crossbowman,Counterattack,24,13,4,4,3,0.667,0.167,0.125,31,1.29,1.94,0,2
Orc Warrior,Fighter,Regular,43,33,0,5,5,0.884,0.116,0.116,205,4.77,5.39,2,2
Orc Warrior,Fighter,Counterattack,38,18,15,4,1,0.500,0.105,0.026,19,0.50,1.00,0,3
Orc Warrior,Goblin Raider,Regular,21,13,0,5,3,0.762,0.238,0.143,296,14.10,18.50,3,2
Orc Warrior,Goblin Raider,Counterattack,15,11,3,1,0,0.733,0.067,0.000,61,4.07,5.55,3,2
Orc Warrior,Knight,Regular,65,48,0,4,13,0.938,0.062,0.200,253,3.89,4.15,4,2
Orc Warrior,Knight,Counterattack,60,40,12,2,6,0.767,0.033,0.100,46,0.77,1.00,0,3
Orc Warrior,Mage,Regular,30,26,0,1,3,0.967,0.033,0.100,382,12.73,13.17,11,3
Orc Warrior,Mage,Counterattack,24,14,6,1,3,0.708,0.042,0.125,41,1.71,2.41,0,3
Orc Warrior,Marksman,Regular,18,14,0,1,3,0.944,0.056,0.167,331,18.39,19.47,6,2
Orc Warrior,Marksman,Counterattack,18,10,3,4,1,0.611,0.222,0.056,78,4.33,7.09,0,2
Orc Warrior,Ogre,Regular,35,30,0,2,3,0.943,0.057,0.086,84,2.40,2.55,0,2
Orc Warrior,Ogre,Counterattack,37,27,7,0,3,0.811,0.000,0.081,30,0.81,1.00,0,2
Orc Warrior,Paladin,Regular,67,56,0,5,6,0.925,0.075,0.090,248,3.70,4.00,7,2
Orc Warrior,Paladin,Counterattack,68,44,15,5,4,0.706,0.074,0.059,48,0.71,1.00,1,3
Orc Warrior,Priest,Regular,11,11,0,0,0,1.000,0.000,0.000,175,15.91,15.91,5,2
Orc Warrior,Priest,Counterattack,12,9,2,0,1,0.833,0.000,0.083,57,4.75,5.70,1,2
Orc Warrior,Ranger,Regular,23,16,0,3,4,0.870,0.130,0.174,310,13.48,15.50,4,3
Orc Warrior,Ranger,Counterattack,13,8,2,3,0,0.615,0.231,0.000,16,1.23,2.00,2,2
Orc Warrior,Rogue,Regular,21,15,0,4,2,0.810,0.190,0.095,276,13.14,16.24,4,2
Orc Warrior,Rogue,Counterattack,21,7,8,4,2,0.429,0.190,0.095,43,2.05,4.78,1,2
Orc Warrior,Scout,Regular,18,13,0,3,2,0.833,0.167,0.111,259,14.39,17.27,5,2
Orc Warrior,Scout,Counterattack,15,11,1,1,2,0.867,0.067,0.133,72,4.80,5.54,0,2
